Keyword,Search Volume,CPC,Keyword Difficulty,Competition,Batch
video understanding api,20,3.03,0,0.51,1
video rag,90,0,37,0.02,1
video search api,20,8.97,0,0.76,1
video database,90,4.35,18,0.21,1
video ai api,20,2.66,0,0.75,1
semantic video search,20,0,0,0.06,1
ai video analysis,1000,2.40,25,0.34,1
video intelligence api,70,6.14,39,0.42,1
what is rag,8100,1.98,86,0.20,2
multimodal rag,390,2.15,33,0.28,2
video embeddings,20,0,0,0.02,2
video transcription api,20,4.25,0,0.51,2
speech to text api,720,126.55,58,0.08,2
video moderation api,50,0,18,0.86,2
content moderation api,210,7.75,36,0.60,2
video analytics ai,260,7.81,48,0.20,2
ai video search,260,2.33,23,0.14,2
ffmpeg alternative,90,0,16,0.33,3
video search engine,2400,1.91,35,0.01,3
rtsp stream,880,2.71,40,0.02,3
video ai agents,40,4.22,45,0.59,3
computer vision api,390,6.42,59,0.15,3
object detection api,50,0,45,0.09,3
scene detection,70,0,21,0.33,3
vision language models,1300,4.58,58,0.04,4
video llm,140,5.98,34,0.05,4
vlm models,170,0,66,0.01,4
gemini video api,20,5.82,0,0.14,4
video question answering,40,0,22,0.33,4
ai camera monitoring,50,19.26,34,0.89,4
cctv ai,70,6.27,58,0.48,4
live video analytics,50,0,22,0.11,4
video dataset for machine learning,10,0,0,0,4
ai training data,590,11.60,57,0.23,4
video summarizer ai,2900,1.11,59,0.20,5
ai meeting notes,1600,4.74,73,0.84,5
meeting transcription,590,4.82,85,0.56,5
ai video clipping,40,1.31,52,0.69,5
video api,1300,12.41,70,0.21,5
mux alternative,20,8.29,0,0.52,5
perception layer,20,0,0,0.33,6
ai agent memory,110,4.31,53,0.21,6
video indexing,40,4.10,0,0.09,6
agentic rag,3600,4.55,47,0.31,6
how do ai agents work,320,3.64,55,0.45,6
video to text ai,720,1.43,62,0.64,6
extract text from video,590,1.36,59,0.70,6
video content analysis,880,3.43,34,0.06,6
